[detectAndCompute_float_desc_checksum] pt0_h=4060997354 pt1_h=2654209239 pt2_h=3810936094 pt3_h=3105892460 pt4_h=3472837676 pt2_0_h=2292965912 pt2_1_h=3870056930 pt2_2_h=1056786328 pt2_3_h=4094696131 pt2_4_h=1348790151 
[detectAndCompute_float_match1] num_pts=3631 max_pts=10000
  pt25: x=808.28 y=45.3236 octave=0 response=0 size=2.4 angle=0.0275518 match=0 dist=0
  pt26: x=829.551 y=45.3544 octave=0 response=0 size=2.4 angle=1.65872 match=0 dist=0
  pt27: x=91.783 y=46.2486 octave=1 response=0 size=2.8541 angle=3.22146 match=0 dist=0
  pt28: x=99.3528 y=46.3514 octave=0 response=0 size=2.4 angle=3.22268 match=0 dist=0
  pt29: x=100.964 y=45.9385 octave=1 response=0 size=2.8541 angle=3.20761 match=0 dist=0
  pt30: x=353.665 y=45.5946 octave=1 response=0 size=2.8541 angle=0.0104321 match=0 dist=0
  pt31: x=531.435 y=46.009 octave=1 response=0 size=2.8541 angle=3.20862 match=0 dist=0
  pt32: x=102.647 y=46.7595 octave=0 response=0 size=2.4 angle=0.179569 match=0 dist=0
  pt33: x=396.709 y=46.7981 octave=1 response=0 size=2.8541 angle=6.25946 match=0 dist=0
  pt34: x=493.537 y=46.5005 octave=1 response=0 size=2.8541 angle=0.117515 match=0 dist=0
  pt35: x=677.642 y=50.2694 octave=0 response=0 size=2.4 angle=0.229938 match=0 dist=0
  pt36: x=361.075 y=51.0607 octave=1 response=0 size=2.8541 angle=3.1834 match=0 dist=0
  pt37: x=635.768 y=51.5627 octave=0 response=0 size=2.4 angle=1.56511 match=0 dist=0
  pt38: x=639.402 y=52.2522 octave=1 response=0 size=2.8541 angle=1.62772 match=0 dist=0
  pt39: x=683.225 y=52.3067 octave=0 response=0 size=2.4 angle=3.06153 match=0 dist=0
  pt40: x=820.912 y=52.148 octave=1 response=0 size=2.8541 angle=0.131016 match=0 dist=0
  pt41: x=883.57 y=52.007 octave=1 response=0 size=2.8541 angle=4.86413 match=0 dist=0
  pt42: x=61.3598 y=53.383 octave=1 response=0 size=2.8541 angle=3.4341 match=0 dist=0
  pt43: x=147.34 y=53.2024 octave=1 response=0 size=2.8541 angle=3.24375 match=0 dist=0
  pt44: x=641.036 y=52.8703 octave=0 response=0 size=2.4 angle=1.81443 match=0 dist=0
  pt45: x=661.361 y=53.1772 octave=1 response=0 size=2.8541 angle=0.205989 match=0 dist=0
  pt46: x=680.905 y=53.0853 octave=1 response=0 size=2.8541 angle=3.12309 match=0 dist=0
  pt47: x=100.742 y=54.0705 octave=0 response=0 size=2.4 angle=0.211614 match=0 dist=0
  pt48: x=539.48 y=54.3078 octave=0 response=0 size=2.4 angle=3.17419 match=0 dist=0
  pt49: x=627.88 y=53.6543 octave=1 response=0 size=2.8541 angle=3.15477 match=0 dist=0
  ... (truncated, total 4820 pts)
